acadèmico_inta_corresponding,anio,coautor_inta,doi,if,if2022,if2023,if_2023,if_5y,nombre_primer_autor,primer_autor_inta,"prmer_autor_inta_(si,_no)",q,revista,tipo_documento,titulo,titulo_revista,disciplina_final
C. ALBALA,2017,"H. SÁNCHEZ, B. ANGEL, M.J. HORMAZABAL, C. MÁRQUEZ",10.14283/jfa.2016.117,,,,,,L. Lera,sí,,,,Article,PREVALENCE OF SARCOPENIA IN COMMUNITY-DWELLING CHILEAN ELDERS ACCORDING TO AN ADAPTED VERSION OF THE EUROPEAN WORKING GROUP ON SARCOPENIA IN OLDER PEOPLE (EWGSOP) CRITERIA,JOURNAL OF FRAILTY & AGING,unclassified
0,2023,"Reyes, Marcela; Corvalan, Camila",10.1186/s12966-023-01445-x,,,5.6,,7.5,Gabriela Fretes,No,,Q1,INTERNATIONAL JOURNAL OF BEHAVIORAL NUTRITION AND PHYSICAL ACTIVITY,Aarticle,"Changes in children's and adolescents' dietary intake after the implementation of Chile's law of food labeling, advertising and sales in schools: a longitudinal study",,nutrition & dietetics
0,2020,"Luisa Garmendia, Maria",10.1017/S0029665120001305,0,,,,0,,No,,0,PROCEEDINGS OF THE NUTRITION SOCIETY,Meeting Abstract,Ultra-processed food consumption and breast cancer risk,,0
0,2017,0,10.2147/ODRR.S69109,,,,,,Juan Francisco Cabello,sí,,,,Review,Pompe disease: Clinical perspectives,Orphan Drugs: Research and Reviews,unclassified
Camila Corvalán,2024,0,10.1016/j.socscimed.2024.116661,,,,4.9,5.2,Isabel Pemjean,,No,Q1,,Article,"How are intra-household dynamics, gender roles and time availability related to food access and children's diet quality during the Covid-19 lockdown?",SOCIAL SCIENCE & MEDICINE,"social sciences, biomedical"
"Fuentes, Jocelyn;
Speisky, Hernan",2021,"Costa de Camargo, Adriano",10.1021/acs.jafc.0c07085,5895,,,,6048,"Fuentes, Jocelyn",Sí,,Q1,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,Article,"Quercetin Oxidation Metabolite Present in Onion Peel Protects Caco-2 Cells against the Oxidative Stress, NF-kappa B Activation, and Loss of Epithelial Barrier Function Induced by NSAIDs",,"chemistry, applied - scie"
"Arredondo, Miguel; Meisel, Lee A.; Fernando Pizarro",2025,0,10.1016/j.jtemb.2025.127753,3.3,,,,3.5,Gabriela Gal´an-Ramírez,No,,Q2,,Article,Effect of blueberries on non-heme iron absorption in adult women,JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY,endocrinology & metabolism
0,2025,"Faundes, Victor",10.3389/fmolb.2025.1561380,4,,,,4.5,Macarena Gajardo,No,,Q2,,Article,Systematic use of protein free energy changes for classifying variants of uncertain significance: the case of IFT140 in Mainzer-Saldino Syndrome,FRONTIERS IN MOLECULAR BIOSCIENCES,biochemistry & molecular biology
0,2025,"Troncoso, Rodrigo",10.1186/s12964-025-02240-w,8.9,,,,9.1,Hugo E. Verdejo,No,,Q1,,Artículo,mTOR inhibition triggers mitochondrial fragmentation in cardiomyocytes through proteosome-dependent prohibitin degradation and OPA-1 cleavage,CELL COMMUNICATION AND SIGNALING,cell biology
"Olivares, Manuel",2015,0,10.1177/0379572115585775,1543,,,,1915,"Mujica-Coopman, Maria F.",No,,	Q2,,Article,Prevalence of Anemia in Latin America and the Caribbean,FOOD AND NUTRITION BULLETIN,food science & technology
Camila Corvalán,2025,"Reyes, Marcela",10.1186/s12916-025-03878-6,8.3,,,,9.4,Natalia Rebolledo,No,,Q1 ,,Artículo,Changes in the critical nutrient content of packaged foods and beverages after the full implementation of the Chilean Food Labelling and Advertising Law: a repeated cross-sectional study,BMC MEDICINE,"medicine, general & internal"
0,2025,"Villasante, Alejandro",10.1007/s10695-025-01535-6,2.5,,,,3.1,Paola Niedmann,No,,Q2,,Article,Potential antioxidant effect of creatine on the functionality of intratesticular spermatozoa of coho salmon (Oncorhynchus kisutch),FISH PHYSIOLOGY AND BIOCHEMISTRY,fisheries
"Bravo-Sagua, Roberto;Albala, Cecilia",2024,"Carlos Márquez ,
Bárbara Angel ",10.3389/fcell.2024.1301433,,,,4.6,5.2,Gianella Liabeuf,,No,Q1 ,,Article,Decreased mitochondrial respiration associates with frailty in community-dwelling older adults,FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY,developmental biology
0,2023,"Corvalan, Camila",10.1136/bmjgh-2022-011312,,,7.1,,7,Guillermo Paraje,No,,Q1,BMJ GLOBAL HEALTH,Article,Evolution of food and beverage prices after the front-of-package labelling regulations in Chile,,"public, environmental & occupational health"
"Reyes, Sussanne; Peirano, Patricio;  Algarin, Cecilia",2020,0,10.1017/S0029665120001378,0,,,,0,,Sí,,0,PROCEEDINGS OF THE NUTRITION SOCIETY,Meeting Abstract,Prediction of white matter integrity pattern in overweight and obese adults,,0
"Speisky, Hernan",2017,0,10.1016/j.foodchem.2017.05.023,5399,,,,5488,"Atala, Elias",No,,Q1,,Article,Quercetin and related flavonoids conserve their antioxidant properties despite undergoing chemical or enzymatic oxidation,FOOD CHEMISTRY,"chemistry, applied"
0,2022,"Corvalan, Camila",10.1016/j.appet.2021.105670,,5.4,,,5.1,Melissa L. Jensen,No,,Q1,APPETITE,Article,Television viewing and using screens while eating: Associations with dietary intake in children and adolescents,,nutrition & dietetics
"Araya, Magdalena",2020,"Leyton, Barbara",10.3390/nu12010156,5719,,,,6352,Mónica Villanueva,No,,	Q1,NUTRIENTS,Article,Changes in Age at Diagnosis and Nutritional Course of Celiac Disease in the Last Two Decades,,nutrition & dietetics
"Romero, Jaime",2025,"Lopez-Polo, Johana;Opazo, Rafael",10.3390/ijms262412072,4.9,,,,5.7,"Villasante, Alejandro",Sí,,	Q1,,Artículo,High Dietary Plant Protein Impairs Astaxanthin Pigmentation in Rainbow Trout by Disrupting Cholesterol-Bile Acid Metabolism and Gut Microbiota,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,biochemistry & molecular biology
Verónica Cambiazo,2025,0,10.3390/d17020086,2.1,,,,2.3,Daniel E. Palma,No,,Q2 ,,Article,"Microbial Communities in Permafrost, Moraine and Deschampsia antarctica Rhizosphere Soils near Ecology Glacier (King George Island, Maritime Antarctic)",DIVERSITY-BASEL,biodiversity conservation
"Rincon-Cervera, Miguel angel",2025,"Arias-Sante, Maria Fernanda; Romero, Jaime ; de Camargo, Adriano Costa",10.3390/md23030104,5.4,,,,5.6,Sussi López-Puebla,No,,Q1,,Article,"Analysis of Fatty Acid Profile, a-Tocopherol, Squalene and Cholesterol Content in Edible Parts and By-Products of South Pacific Wild Fishes",MARINE DRUGS,pharmacology & pharmacy
"Pizarro, Fernando",2015,"Arredondo, Miguel; Olivares, Manuel",10.1016/j.jtemb.2014.11.005,2550,,,,2484,"Jaramillo, Angela",No,,Q3,,Article,"Effect of phytic acid, tannic acid and pectin on fasting iron bioavailability both in the presence and absence of calcium",JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY,biochemistry & molecular biology
"Romero, Jaime",2018,0,10.1007/s12602-017-9366-7,2962,,,,2411,"Catalan, Natalia",No,,Q2,,Article,Fermented Soybean Meal Increases Lactic Acid Bacteria in Gut Microbiota of Atlantic Salmon (Salmo salar),PROBIOTICS AND ANTIMICROBIAL PROTEINS,biotechnology & applied microbiology
0,2018,"Hirsch, Sandra",10.1017/ice.2018.84,2856,,,,3391,"Johnston, Bradley C.",No,,	Q2,,Article,"Microbial Preparations (Probiotics) for the Prevention of Clostridium difficile Infection in Adults and Children: An Individual Patient Data Meta-analysis of 6,851 Participants",INFECTION CONTROL AND HOSPITAL EPIDEMIOLOGY,"public, environmental & occupational health"
"Fuentes, Jocelyn;
Speisky, Hernan",2021,"Costa de Camargo, Adriano",10.1021/acs.jafc.0c07085,5895,,,,6048,"Fuentes, Jocelyn",Sí,,Q1,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,Article,"Quercetin Oxidation Metabolite Present in Onion Peel Protects Caco-2 Cells against the Oxidative Stress, NF-kappa B Activation, and Loss of Epithelial Barrier Function Induced by NSAIDs",,food science & technology - scie
0,2019,"Reyes, Marcela",10.1017/S1368980018003130,3182,,,,3341,"Correa, Teresa",No,,	Q2,,Article,The prevalence and audience reach of food and beverage advertising on Chilean television according to marketing tactics and nutritional quality of products,PUBLIC HEALTH NUTRITION,"public, environmental & occupational health"
